 	)	i	1	=	f	4	t	(	h	e	n	l	3	s	w	d	/	o	>	<	+	-	*	2	#	E	H	P	A	C	S	J	B	T	D	F	
206			s25			s28		s24					s27											s26		116				213				22		23	
207		r6	r6												r6										r6												
208		r14	r14							r14					r14										r14												
209		r15	r15							r15					r15										r15												
210		r18	r18							r18					r18						r18	r18			r18												
211		r19	r19							r19					r19						r19	r19			r19												
212											s214																										
213																s215																					
214		s134	s133												s135																216						
215																		s217																			
216										s219																	218										
217		s134	s133												s135																221						
218		r5	r5							r5					r5										r5												
219												s222																									
220		r7	r7							r7					r7										r7												
221		r8	r8							r8					r8										r8												
222														s223																							
223										s224																											
224		s134	s133												s135																225						
225		r6	r6							r6					r6										r6												
